"Knowledge base name","Article title","Article subtitle","Article language","Article URL","Article body","Category","Subcategory","Keywords","Last modified date","Status","Archived"
"KB","back-end network","AI clouds typically have a separate network segment for GPUs to communicate with each for multi-stage training computations with large data sets.  Hedgehog optimizes the back-end network for large elephant flows using RDMA, PFC and ECN.  ","en","http://21430285.hs-sites.com/back-end-network","In an AI cloud environment, the backend network refers to the infrastructure and systems that support the processing, storage, and analysis of data to deliver AI services. This includes various components such as:<br><br>1. **Compute Resources**: Backend networks typically consist of clusters of high-performance servers, GPUs (Graphics Processing Units), TPUs (Tensor Processing Units), or other specialized hardware optimized for AI workloads. These resources are used to train and run AI models, perform data processing tasks, and execute algorithms.<br><br>2. **Storage Systems**: Backend networks include storage systems such as distributed file systems, databases, and data lakes, which are used to store large volumes of data required for training AI models and serving predictions. These storage systems are often designed to handle structured and unstructured data efficiently.<br><br>3. **AI Model Training and Inference**: The backend network hosts the infrastructure for training AI models using large datasets. This involves parallel processing, distributed computing, and optimization techniques to accelerate the training process. In addition, the backend network supports the deployment of trained models for inference, where predictions are generated in real-time based on new data inputs.<br><br>4. **Networking Infrastructure**: Backend networks require robust networking infrastructure to ensure high-speed data transfer between different components of the AI system, as well as reliable communication with front-end systems and external services.<br><br>5. **Monitoring and Management Tools**: Backend networks are equipped with monitoring and management tools that provide visibility into system performance, resource utilization, and health status. These tools help operators optimize resource allocation, troubleshoot issues, and ensure the reliability and scalability of the AI cloud infrastructure.<br><br>Overall, the backend network forms the foundation of an AI cloud platform, providing the computational, storage, and networking resources necessary to support the development, deployment, and operation of AI applications and services.","Glossary","","back-end network","2024-05-28T17:35:03.543Z","DRAFT","false"
"KB","north-south traffic","north-south traffic comes from the internet or public cloud into a multi-tenant front-end network through a Hedgehog service gateway. ","en","http://21430285.hs-sites.com/north-south-traffic","<p>&nbsp;</p>
<p>In the context of networking within an AI cloud environment, ""north-south traffic"" refers to the communication flow between the external world (outside the cloud environment) and the resources within the cloud infrastructure.&nbsp;<br><br>Here's a breakdown:<br><br>- **Northbound Traffic**: This traffic flows from the external world (clients, users, other networks) towards the resources hosted within the AI cloud. For example, when a user accesses an AI service deployed in the cloud, requests and data sent from the user to the cloud constitute northbound traffic.<br><br>- **Southbound Traffic**: Conversely, southbound traffic flows from the resources within the AI cloud towards the external world. This can include responses to user requests, data being sent back to clients, or any other outbound communication initiated by resources within the cloud.<br><br>In the context of an AI cloud network, north-south traffic would include interactions such as users submitting data for processing by AI models hosted in the cloud, receiving predictions or results from those models, and any other communication between the cloud and external systems. Understanding and managing north-south traffic is crucial for optimizing performance, security, and scalability of AI applications deployed in the cloud.</p>","Glossary","","north-south traffic","2024-05-28T19:35:50.591Z","DRAFT","false"
"KB","front-end network","AI clouds typically have a network segment for users to get data in and out of the GPU cluster.  The front-end network usually serves multiple tenants.  Hedgehog offers a virtual private cloud for multi-tenant isolation.  ","en","http://21430285.hs-sites.com/front-end-network","<p>A front-end network in an AI cloud directly interacts with users or tenants. In the context of AI applications, this could involve components such as user interfaces, APIs (Application Programming Interfaces) for accessing AI services, authentication mechanisms, and data processing pipelines that handle incoming requests from users or other systems.</p>
<p>The front-end network is responsible for handling user inputs, forwarding them to the appropriate backend AI services or systems, and returning the results back to the users. It acts as an interface between the users and the backend AI resources, providing a means for users to interact with AI capabilities deployed in the cloud.</p>","Glossary","","","2024-05-28T17:35:08.390Z","DRAFT","false"
"KB","east-west traffic","","en","http://21430285.hs-sites.com/east-west-traffic","In an AI cloud environment, ""east-west traffic"" refers to the communication flow between resources or components within the cloud infrastructure itself. Unlike north-south traffic, which involves communication between the external world and the resources within the cloud, east-west traffic occurs entirely within the boundaries of the cloud environment.<br><br>Here's a closer look:<br><br>- **Eastbound Traffic**: This traffic flows from one resource to another within the cloud infrastructure, moving horizontally across different components or services. For example, if an AI model deployed on one server needs to communicate with a database hosted on another server within the same cloud environment, the data transfer between these two resources constitutes eastbound traffic.<br><br>- **Westbound Traffic**: Conversely, westbound traffic moves in the opposite direction, from one resource to another within the cloud. This could include responses, acknowledgments, or any other outbound communication initiated by resources within the cloud.<br><br>In the context of an AI cloud network, east-west traffic is vital for enabling collaboration and interaction between various components of AI applications deployed in the cloud. This includes communication between different microservices, data exchange between storage systems and compute nodes, synchronization of distributed computing tasks, and more.<br><br>Understanding and optimizing east-west traffic is essential for ensuring the efficiency, performance, and scalability of AI applications deployed in the cloud, as well as for maintaining robust communication and coordination between different components of the infrastructure.","Glossary","","east-west traffic","2024-05-28T17:34:53.525Z","DRAFT","false"
"KB","RDMA","AI cloud systems need to be fast, efficient, and scaleable. Remote Direct Memory Access (RDMA) allows for memory of one computer to be transferred to another without involving a operating system. Hedgehog optimizes ","en","http://21430285.hs-sites.com/rdma","RDMA stands for Remote Direct Memory Access, and it's a technology used in networking to allow data to be transferred directly from the memory of one computer into that of another without involving either one's operating system. In the context of an AI cloud network, RDMA can significantly enhance the performance and efficiency of data-intensive operations, such as those commonly found in AI workloads.<br><br>Here's how RDMA works in an AI cloud network:<br><br>1. **Low Latency**: RDMA enables low-latency data transfers by bypassing the traditional network stack and operating system overhead. This is crucial in AI applications where large datasets need to be transferred between nodes quickly to maintain high performance.<br><br>2. **High Throughput**: RDMA facilitates high-throughput data transfers by utilizing the full network bandwidth efficiently. This is beneficial for AI workloads that involve processing vast amounts of data, such as training deep learning models on large datasets.<br><br>3. **Efficient Resource Utilization**: By directly accessing remote memory, RDMA reduces CPU utilization and network congestion, leading to more efficient resource utilization in the cloud environment. This is particularly advantageous in AI cloud networks where computational resources are often shared among multiple users and applications.<br><br>4. **Scalability**: RDMA is highly scalable, allowing AI cloud networks to scale up seamlessly to accommodate growing workloads and datasets without sacrificing performance. This scalability is essential for handling the increasing demands of AI applications.<br><br>Overall, RDMA plays a crucial role in optimizing the performance, scalability, and efficiency of AI cloud networks, making it a valuable technology for accelerating AI workloads in the cloud.","Glossary","","","2024-05-28T17:56:35.951Z","DRAFT","false"
"KB","Cloud Builder","Anyone who designs, configures, deploys, integrates, optimizes, or secures a cloud infrastructure is a cloud builder. Hedgehog offers AI network software to cloud builders serving AI developers. ","en","http://21430285.hs-sites.com/cloud-builder","In a cloud networking context, a ""cloud builder"" typically refers to a service provider or a team responsible for designing, deploying, and managing cloud infrastructure for organizations. These professionals specialize in architecting cloud environments tailored to the specific needs and requirements of their clients.<br><br>The responsibilities of a cloud builder may include:<br><br>1. Designing Cloud Architecture: Cloud builders assess the requirements of their clients and design cloud architectures that meet their needs, considering factors such as scalability, reliability, security, and cost-effectiveness.<br><br>2. Deployment and Configuration: They are responsible for deploying cloud resources such as virtual machines, storage, networking components, and services like databases or AI tools. They configure these resources to ensure optimal performance and compatibility with the organization's applications and workloads.<br><br>3. Integration: Cloud builders integrate various cloud services and components to create cohesive and interoperable cloud environments. This may involve integrating on-premises infrastructure with cloud resources or connecting multiple cloud providers for hybrid or multi-cloud deployments.<br><br>4. Security and Compliance: They implement security best practices and compliance measures to protect data and infrastructure in the cloud. This includes setting up identity and access management (IAM), encryption, firewalls, and monitoring solutions to detect and respond to security threats.<br><br>5. Optimization and Cost Management: Cloud builders continuously monitor and optimize cloud resources to improve performance, reliability, and cost-efficiency. They analyze usage patterns, identify bottlenecks, and recommend optimizations to minimize cloud spending while maximizing resource utilization.<br><br>Overall, cloud builders play a crucial role in helping organizations leverage cloud computing technologies to achieve their business objectives effectively and efficiently. They bring expertise in cloud architecture, deployment, security, and optimization to ensure that cloud environments meet the evolving needs of their clients.","Glossary","","","2024-05-28T19:25:52.903Z","DRAFT","false"
"KB","RoCEv2","RDMA over Converged Ethernet version 2 (RoCEv2) is a networking protocol which enables RDMA over Ethernet networks. The Hedgehog data plane manages congestion and adapts routing in backend GPU fabrics with RoCEv2 for optimal AI network performance. ","en","http://21430285.hs-sites.com/rocev2","RoCEv2 (RDMA over Converged Ethernet version 2) refers to a networking protocol that enables Remote Direct Memory Access (RDMA) capabilities over Ethernet networks. RDMA allows data to be transferred directly between the memory of one computer and another without involving the processors or operating systems of the devices, thus reducing latency and CPU overhead.<br><br>In the context of AI workloads in the cloud, where large-scale data processing and high-performance computing are common, RoCEv2 can significantly enhance network performance and accelerate data movement between servers, storage systems, and accelerators such as GPUs or TPUs. This is particularly beneficial for distributed deep learning frameworks and other AI applications that require fast data transfers and low latency communication between computing nodes.<br><br>Key features and benefits of RoCEv2 in an AI cloud network context include:<br><br>1. Low Latency: RoCEv2 minimizes network latency by enabling direct data transfers between memory buffers without involving the CPU or operating system, thus reducing processing delays.<br><br>2. High Throughput: RoCEv2 supports high-speed data transfer rates, allowing for efficient movement of large datasets across the network, which is essential for AI training and inference tasks.<br><br>3. Scalability: RoCEv2 can scale to large numbers of nodes in a cloud environment, enabling distributed AI workloads to be seamlessly processed across multiple servers or clusters.<br><br>4. Compatibility: RoCEv2 is compatible with Ethernet-based networks, making it easier to deploy and integrate into existing cloud infrastructure without requiring specialized hardware or network configurations.<br><br>Overall, RoCEv2 plays a critical role in optimizing network performance and accelerating AI workloads in the cloud, enabling organizations to achieve faster training times, improved model accuracy, and enhanced scalability for their AI applications.","Glossary","","","2024-05-28T20:28:07.187Z","DRAFT","false"
"KB","ECN","Explicit Congestion Notification is feature of IP networks that allows network devices to notify endpoints of impending congestion before packet loss occurs. Hedgehog utilizes ECN to optimize AI network performance. ","en","http://21430285.hs-sites.com/ecn","&nbsp;ECN stands for Explicit Congestion Notification. ECN is a feature of Internet Protocol (IP) networks that allows network devices, such as routers and switches, to notify endpoints (such as servers or clients) of impending congestion before packet loss occurs.<br><br>In the context of AI workloads in the cloud, where large volumes of data are transferred between servers and storage systems, ECN can play a crucial role in optimizing network performance and reliability. Here's how ECN works and its significance:<br><br>1. **Congestion Notification**: When network congestion occurs, routers or switches can set a flag in the IP header of packets to indicate congestion. This flag notifies the receiving endpoint that congestion is happening somewhere along the path.<br><br>2. **Reduced Packet Loss**: By using ECN, network devices can signal congestion to endpoints without dropping packets. This helps avoid unnecessary packet loss, which can degrade the performance of AI workloads, especially those involving real-time data processing or communication.<br><br>3. **Improved Throughput**: ECN allows endpoints to react to congestion proactively by reducing their transmission rates or adjusting their congestion control algorithms. This helps to maintain optimal network throughput and minimize performance degradation during periods of congestion.<br><br>4. **Enhanced Quality of Service (QoS)**: ECN can be integrated with QoS mechanisms to prioritize traffic and ensure that critical AI workloads receive preferential treatment during congestion events. This helps to maintain consistent performance for latency-sensitive applications.<br><br>Overall, ECN can contribute to improving the efficiency, reliability, and scalability of AI workloads in the cloud by providing early congestion notification and enabling congestion-aware network behavior. It helps to ensure that data transfers between computing resources are conducted smoothly and without unnecessary delays, ultimately leading to better performance and user experience for AI applications.","Glossary","","","2024-05-28T20:30:59.555Z","DRAFT","false"
"KB","PFC","Priority-based Flow Control (PFC) is a feature of Ethernet networks that helps manage congestion by allowing network devices to pause the transmission of data on specific traffic classes when congestion is detected.","en","http://21430285.hs-sites.com/pfc","PFC stands for Priority-based Flow Control. PFC is a feature of Ethernet networks that helps manage congestion by allowing network devices to pause the transmission of data on specific traffic classes when congestion is detected.<br><br>In AI networks where large volumes of data are transferred between servers, storage systems, and accelerators such as GPUs or TPUs, PFC can be crucial for ensuring efficient and reliable data communication. Here's how PFC works and its significance:<br><br>1. **Traffic Prioritization**: PFC operates based on traffic classes, with each class assigned a priority level. In AI networks, traffic classes may be configured to prioritize different types of traffic, such as data transfers for training models, inference requests, or management traffic.<br><br>2. **Congestion Detection**: When congestion occurs in the network, switches or routers can signal this condition by setting a congestion notification (CN) bit in the Ethernet frame header.<br><br>3. **Selective Pausing**: Upon detecting congestion, switches can selectively pause the transmission of data on specific traffic classes by sending Pause frames to the sending devices. This allows high-priority traffic, such as AI training data, to continue transmitting while temporarily halting lower-priority traffic to alleviate congestion.<br><br>4. **Improved Performance and Reliability**: By preventing packet loss and ensuring that critical traffic receives preferential treatment during congestion events, PFC helps maintain optimal network performance and reliability for AI workloads. This is particularly important for real-time or latency-sensitive applications where delays or interruptions in data transmission can impact the accuracy and efficiency of AI algorithms.<br><br>Overall, PFC plays a critical role in managing congestion and optimizing network performance in AI environments by prioritizing traffic and preventing performance degradation during periods of heavy data transfer. It helps ensure that AI workloads can access the network resources they need efficiently and reliably, ultimately leading to better performance and user experience for AI applications.","Glossary","","","2024-05-28T20:33:42.254Z","DRAFT","false"
"KB","tenant","A tenant is an entity which utilizes cloud computing services from a cloud provider. Hedgehog provides cloud builders serving AI developers with an accessible front-end network to better serve their tenants. ","en","http://21430285.hs-sites.com/tenant","A ""tenant"" is an entity or organization that rents or subscribes to cloud computing resources and services from a cloud provider. These resources may include virtual machines (VMs), storage, networking components, and specialized AI services such as machine learning algorithms or data processing tools.<br><br>Here's how the concept of ""tenant"" applies in the context of AI cloud networks:<br><br>1. **Resource Isolation**: In a multi-tenant cloud environment, multiple tenants share the same physical infrastructure, such as servers and networking equipment. However, the cloud provider ensures that each tenant's resources are logically isolated from one another to maintain security, privacy, and performance.<br><br>2. **Customized Environments**: Each tenant in an AI cloud network can configure and customize their computing environment to meet their specific requirements and preferences. This may include selecting the type and size of virtual machines, choosing storage options, and deploying AI frameworks or libraries tailored to their workloads.<br><br>3. **Billing and Usage**: Tenants are typically billed based on their usage of cloud resources, such as CPU hours, storage capacity, or data transfer volume. Cloud providers offer various pricing models, including pay-as-you-go, subscription-based, or reserved instances, to accommodate different usage patterns and budget considerations.<br><br>4. **Security and Compliance**: Cloud providers implement security measures and compliance standards to protect the data and resources of each tenant. This includes access controls, encryption, network segmentation, and regulatory compliance features to ensure that tenant data remains secure and compliant with relevant regulations.<br><br>5. **Scalability and Flexibility**: Tenants can scale their cloud resources up or down dynamically based on their changing needs and workload demands. This scalability allows AI applications to handle varying workloads efficiently and accommodate spikes in demand without provisioning additional on-premises infrastructure.<br><br>Overall, the concept of ""tenant"" in an AI cloud network context refers to the individual organizations or users that utilize cloud computing resources and services to deploy, manage, and scale their AI workloads. Tenants benefit from the flexibility, scalability, and cost-effectiveness of cloud computing while leveraging advanced AI capabilities to drive innovation and achieve their business objectives.","Glossary","","","2024-05-28T20:40:58.188Z","DRAFT","false"
